# ANSI code	Foreground	Background
211	#FC80B1	#FC6E9F
212	#FC7DE1	#FC6CCE
213	#FC7AFF	#FC69FF
214	#FDAE18	#FDA009
215	#FDAD58	#FD9F4D
216	#FDAC80	#FD9E74
217	#FDAAAC	#FD9D9F
218	#FDA8DB	#FD9BCE
219	#FDA6FF	#FD99FF
220	#FED915	#FED10A
221	#FED854	#FED04D
222	#FED77B	#FECF75
223	#FED6A6	#FECEA0
224	#FED4D5	#FECDCE
225	#FED2FF	#FECBFF
226	#FFFF0E	#FFFF0B
227	#FFFF4F	#FFFF4E
228	#FFFF76	#FFFF75
229	#FFFFA0	#FFFFA0
230	#FFFFCE	#FFFFCE
231	#FFFFFF	#FFFFFF
232	#272727	#090909
233	#2C2C2C	#0F0F0F
234	#333333	#151515
235	#3B3B3B	#1D1D1D
236	#434343	#242424
237	#4B4B4B	#2C2C2C
238	#535353	#343434
239	#5B5B5B	#3D3D3D
240	#636363	#464646
241	#6C6C6C	#4F4F4F
242	#757575	#595959
243	#7D7D7D	#636363
244	#868686	#6D6D6D
245	#8F8F8F	#777777
246	#989898	#828282
247	#A1A1A1	#8C8C8C
248	#AAAAAA	#979797
249	#B4B4B4	#A3A3A3
250	#BDBDBD	#AEAEAE
251	#C7C7C7	#BABABA
252	#D0D0D0	#C5C5C5
253	#DADADA	#D1D1D1
254	#E4E4E4	#DDDDDD
255	#EEEEEE	#EAEAEA
